"date","city","province","total"
2020-02-17,"incheon","gyeonggi",0
2020-02-17,"jeju","jeolla",0
2020-02-17,"jeonbuk","jeolla",0
2020-02-17,"jeonnam","jeolla",0
2020-02-17,"quarantine_station",NA,0
2020-02-17,"sejong","chungcheong",0
2020-02-17,"seoul","gyeonggi",1
2020-02-17,"ulsan","gyeongsang",0
2020-02-18,"busan","gyeongsang",0
2020-02-18,"chungbuk","chungcheong",0
2020-02-18,"chungnam","chungcheong",0
2020-02-18,"daegu","gyeongsang",1
2020-02-18,"daejeon","chungcheong",0
2020-02-18,"gangwon","gangwon",0
2020-02-18,"gwangju","jeolla",0
2020-02-18,"gyeongbuk","gyeongsang",0
2020-02-18,"gyeonggi","gyeonggi",0
2020-02-18,"gyeongnam","gyeongsang",0
2020-02-18,"incheon","gyeonggi",0
2020-02-18,"jeju","jeolla",0
2020-02-18,"jeonbuk","jeolla",0
2020-02-18,"jeonnam","jeolla",0
2020-02-18,"quarantine_station",NA,0
2020-02-18,"sejong","chungcheong",0
2020-02-18,"seoul","gyeonggi",0
2020-02-18,"ulsan","gyeongsang",0
2020-02-19,"busan","gyeongsang",0
2020-02-19,"chungbuk","chungcheong",0
2020-02-19,"chungnam","chungcheong",0
2020-02-19,"daegu","gyeongsang",15
2020-02-19,"daejeon","chungcheong",0
2020-02-19,"gangwon","gangwon",0
2020-02-19,"gwangju","jeolla",0
2020-02-19,"gyeongbuk","gyeongsang",3
2020-02-19,"gyeonggi","gyeonggi",0
2020-02-19,"gyeongnam","gyeongsang",0
2020-02-19,"incheon","gyeonggi",0
2020-02-19,"jeju","jeolla",0
2020-02-19,"jeonbuk","jeolla",0
2020-02-19,"jeonnam","jeolla",0
2020-02-19,"quarantine_station",NA,0
2020-02-19,"sejong","chungcheong",0
2020-02-19,"seoul","gyeonggi",2
2020-02-19,"ulsan","gyeongsang",0
2020-02-20,"busan","gyeongsang",0
2020-02-20,"chungbuk","chungcheong",0
2020-02-20,"chungnam","chungcheong",0
2020-02-20,"daegu","gyeongsang",30
2020-02-20,"daejeon","chungcheong",0
2020-02-20,"gangwon","gangwon",0
2020-02-20,"gwangju","jeolla",0
2020-02-20,"gyeongbuk","gyeongsang",21
2020-02-20,"gyeonggi","gyeonggi",0
2020-02-20,"gyeongnam","gyeongsang",0
2020-02-20,"incheon","gyeonggi",0
2020-02-20,"jeju","jeolla",0
2020-02-20,"jeonbuk","jeolla",0
2020-02-20,"jeonnam","jeolla",0
2020-02-20,"quarantine_station",NA,0
2020-02-20,"sejong","chungcheong",0
2020-02-20,"seoul","gyeonggi",2
2020-02-20,"ulsan","gyeongsang",0
2020-02-21,"busan","gyeongsang",0
2020-02-21,"chungbuk","chungcheong",1
2020-02-21,"chungnam","chungcheong",1
2020-02-21,"daegu","gyeongsang",80
2020-02-21,"daejeon","chungcheong",0
2020-02-21,"gangwon","gangwon",0
2020-02-21,"gwangju","jeolla",2
2020-02-21,"gyeongbuk","gyeongsang",3
2020-02-21,"gyeonggi","gyeonggi",2
2020-02-21,"gyeongnam","gyeongsang",4
2020-02-21,"incheon","gyeonggi",0
2020-02-21,"jeju","jeolla",1
2020-02-21,"jeonbuk","jeolla",1
2020-02-21,"jeonnam","jeolla",0
2020-02-21,"quarantine_station",NA,0
2020-02-21,"sejong","chungcheong",0
2020-02-21,"seoul","gyeonggi",5
2020-02-21,"ulsan","gyeongsang",0
2020-02-22,"busan","gyeongsang",3
2020-02-22,"chungbuk","chungcheong",2
2020-02-22,"chungnam","chungcheong",0
2020-02-22,"daegu","gyeongsang",83
2020-02-22,"daejeon","chungcheong",2
2020-02-22,"gangwon","gangwon",5
2020-02-22,"gwangju","jeolla",3
2020-02-22,"gyeongbuk","gyeongsang",117
2020-02-22,"gyeonggi","gyeonggi",6
2020-02-22,"gyeongnam","gyeongsang",0
2020-02-22,"incheon","gyeonggi",0
2020-02-22,"jeju","jeolla",1
2020-02-22,"jeonbuk","jeolla",1
2020-02-22,"jeonnam","jeolla",1
2020-02-22,"quarantine_station",NA,0
2020-02-22,"sejong","chungcheong",1
2020-02-22,"seoul","gyeonggi",3
2020-02-22,"ulsan","gyeongsang",1
2020-02-23,"busan","gyeongsang",8
2020-02-23,"chungbuk","chungcheong",0
2020-02-23,"chungnam","chungcheong",0
2020-02-23,"daegu","gyeongsang",117
2020-02-23,"daejeon","chungcheong",1
2020-02-23,"gangwon","gangwon",0
2020-02-23,"gwangju","jeolla",2
2020-02-23,"gyeongbuk","gyeongsang",25
2020-02-23,"gyeonggi","gyeonggi",4
2020-02-23,"gyeongnam","gyeongsang",10
2020-02-23,"incheon","gyeonggi",0
2020-02-23,"jeju","jeolla",1
2020-02-23,"jeonbuk","jeolla",0
2020-02-23,"jeonnam","jeolla",0
2020-02-23,"quarantine_station",NA,0
2020-02-23,"sejong","chungcheong",0
2020-02-23,"seoul","gyeonggi",1
2020-02-23,"ulsan","gyeongsang",0
2020-02-24,"busan","gyeongsang",15
2020-02-24,"chungbuk","chungcheong",0
2020-02-24,"chungnam","chungcheong",0
2020-02-24,"daegu","gyeongsang",173
2020-02-24,"daejeon","chungcheong",0
2020-02-24,"gangwon","gangwon",0
2020-02-24,"gwangju","jeolla",1
2020-02-24,"gyeongbuk","gyeongsang",23
2020-02-24,"gyeonggi","gyeonggi",11
2020-02-24,"gyeongnam","gyeongsang",3
2020-02-24,"incheon","gyeonggi",0
2020-02-24,"jeju","jeolla",0
2020-02-24,"jeonbuk","jeolla",0
2020-02-24,"jeonnam","jeolla",0
2020-02-24,"quarantine_station",NA,0
2020-02-24,"sejong","chungcheong",0
2020-02-24,"seoul","gyeonggi",4
2020-02-24,"ulsan","gyeongsang",1
2020-02-25,"busan","gyeongsang",8
2020-02-25,"chungbuk","chungcheong",1
