"date","region","province","cases"
2020-02-28,"Region 2","Hor",0
2020-02-28,"Region 2","Koh",0
2020-02-28,"Region 2","Cha",0
2020-02-28,"Region 2","Bus",0
2020-02-28,"Region 3","Gil",25
2020-02-28,"Region 3","Ard",1
2020-02-28,"Region 3","Azs",4
2020-02-28,"Region 3","Azg",0
2020-02-28,"Region 3","Kur",2
2020-02-28,"Region 3","Zan",0
2020-02-28,"Region 4","Mar",0
2020-02-28,"Region 4","Ham",0
2020-02-28,"Region 4","Khz",3
2020-02-28,"Region 4","Krs",0
2020-02-28,"Region 4","Lor",0
2020-02-28,"Region 4","Ilm",0
2020-02-28,"Region 5","Khr",0
2020-02-28,"Region 5","Sis",0
2020-02-28,"Region 5","Yaz",0
2020-02-28,"Region 5","Khs",0
2020-02-28,"Region 5","Ker",0
2020-02-28,"Region 5","Khn",0
2020-02-29,"Region 1","Qom",21
2020-02-29,"Region 1","Teh",52
2020-02-29,"Region 1","Maz",12
2020-02-29,"Region 1","Alb",8
2020-02-29,"Region 1","Sem",4
2020-02-29,"Region 1","Gol",22
2020-02-29,"Region 1","Qaz",6
2020-02-29,"Region 2","Esf",12
2020-02-29,"Region 2","Frs",8
2020-02-29,"Region 2","Hor",0
2020-02-29,"Region 2","Koh",0
2020-02-29,"Region 2","Cha",0
2020-02-29,"Region 2","Bus",0
2020-02-29,"Region 3","Gil",17
2020-02-29,"Region 3","Ard",3
2020-02-29,"Region 3","Azs",6
2020-02-29,"Region 3","Azg",0
2020-02-29,"Region 3","Kur",5
2020-02-29,"Region 3","Zan",0
2020-02-29,"Region 4","Mar",18
2020-02-29,"Region 4","Ham",0
2020-02-29,"Region 4","Khz",4
2020-02-29,"Region 4","Krs",0
2020-02-29,"Region 4","Lor",0
2020-02-29,"Region 4","Ilm",1
2020-02-29,"Region 5","Khr",0
2020-02-29,"Region 5","Sis",1
2020-02-29,"Region 5","Yaz",4
2020-02-29,"Region 5","Khs",1
2020-02-29,"Region 5","Ker",0
2020-02-29,"Region 5","Khn",0
2020-03-01,"Region 1","Qom",30
2020-03-01,"Region 1","Teh",170
2020-03-01,"Region 1","Maz",11
2020-03-01,"Region 1","Alb",31
2020-03-01,"Region 1","Sem",3
2020-03-01,"Region 1","Gol",0
2020-03-01,"Region 1","Qaz",0
2020-03-01,"Region 2","Esf",13
2020-03-01,"Region 2","Frs",8
2020-03-01,"Region 2","Hor",2
2020-03-01,"Region 2","Koh",0
2020-03-01,"Region 2","Cha",0
2020-03-01,"Region 2","Bus",0
2020-03-01,"Region 3","Gil",28
2020-03-01,"Region 3","Ard",0
2020-03-01,"Region 3","Azs",0
2020-03-01,"Region 3","Azg",0
2020-03-01,"Region 3","Kur",0
2020-03-01,"Region 3","Zan",0
2020-03-01,"Region 4","Mar",44
2020-03-01,"Region 4","Ham",3
2020-03-01,"Region 4","Khz",9
2020-03-01,"Region 4","Krs",2
2020-03-01,"Region 4","Lor",8
2020-03-01,"Region 4","Ilm",1
2020-03-01,"Region 5","Khr",17
2020-03-01,"Region 5","Sis",2
2020-03-01,"Region 5","Yaz",0
2020-03-01,"Region 5","Khs",2
2020-03-01,"Region 5","Ker",2
2020-03-01,"Region 5","Khn",0
2020-03-02,"Region 1","Qom",0
2020-03-02,"Region 1","Teh",0
2020-03-02,"Region 1","Maz",0
2020-03-02,"Region 1","Alb",0
2020-03-02,"Region 1","Sem",0
2020-03-02,"Region 1","Gol",0
2020-03-02,"Region 1","Qaz",0
2020-03-02,"Region 2","Esf",0
2020-03-02,"Region 2","Frs",0
2020-03-02,"Region 2","Hor",0
2020-03-02,"Region 2","Koh",0
2020-03-02,"Region 2","Cha",0
2020-03-02,"Region 2","Bus",0
2020-03-02,"Region 3","Gil",0
2020-03-02,"Region 3","Ard",0
2020-03-02,"Region 3","Azs",0
2020-03-02,"Region 3","Azg",0
2020-03-02,"Region 3","Kur",0
2020-03-02,"Region 3","Zan",0
2020-03-02,"Region 4","Mar",0
2020-03-02,"Region 4","Ham",0
2020-03-02,"Region 4","Khz",0
2020-03-02,"Region 4","Krs",0
2020-03-02,"Region 4","Lor",0
2020-03-02,"Region 4","Ilm",0
2020-03-02,"Region 5","Khr",0
2020-03-02,"Region 5","Sis",0
2020-03-02,"Region 5","Yaz",0
2020-03-02,"Region 5","Khs",0
2020-03-02,"Region 5","Ker",0
2020-03-02,"Region 5","Khn",0
2020-03-03,"Region 1","Qom",0
2020-03-03,"Region 1","Teh",0
2020-03-03,"Region 1","Maz",0
2020-03-03,"Region 1","Alb",0
2020-03-03,"Region 1","Sem",0
2020-03-03,"Region 1","Gol",0
2020-03-03,"Region 1","Qaz",0
2020-03-03,"Region 2","Esf",0
2020-03-03,"Region 2","Frs",0
2020-03-03,"Region 2","Hor",0
2020-03-03,"Region 2","Koh",0
2020-03-03,"Region 2","Cha",0
2020-03-03,"Region 2","Bus",0
2020-03-03,"Region 3","Gil",0
2020-03-03,"Region 3","Ard",0
2020-03-03,"Region 3","Azs",0
2020-03-03,"Region 3","Azg",0
2020-03-03,"Region 3","Kur",0
2020-03-03,"Region 3","Zan",0
2020-03-03,"Region 4","Mar",0
2020-03-03,"Region 4","Ham",0
2020-03-03,"Region 4","Khz",0
2020-03-03,"Region 4","Krs",0
2020-03-03,"Region 4","Lor",0
2020-03-03,"Region 4","Ilm",0
2020-03-03,"Region 5","Khr",0
2020-03-03,"Region 5","Sis",0
2020-03-03,"Region 5","Yaz",0
2020-03-03,"Region 5","Khs",0
2020-03-03,"Region 5","Ker",0
2020-03-03,"Region 5","Khn",0
2020-03-04,"Region 1","Qom",101
2020-03-04,"Region 1","Teh",253
2020-03-04,"Region 1","Maz",9
2020-03-04,"Region 1","Alb",19
2020-03-04,"Region 1","Sem",8
2020-03-04,"Region 1","Gol",9
2020-03-04,"Region 1","Qaz",25
2020-03-04,"Region 2","Esf",0
2020-03-04,"Region 2","Frs",14
2020-03-04,"Region 2","Hor",0
2020-03-04,"Region 2","Koh",0
2020-03-04,"Region 2","Cha",1
2020-03-04,"Region 2","Bus",0
2020-03-04,"Region 3","Gil",35
2020-03-04,"Region 3","Ard",0
2020-03-04,"Region 3","Azs",9
2020-03-04,"Region 3","Azg",0
2020-03-04,"Region 3","Kur",4
2020-03-04,"Region 3","Zan",6
2020-03-04,"Region 4","Mar",8
2020-03-04,"Region 4","Ham",0
2020-03-04,"Region 4","Khz",27
2020-03-04,"Region 4","Krs",15
2020-03-04,"Region 4","Lor",5
2020-03-04,"Region 4","Ilm",7
2020-03-04,"Region 5","Khr",8
2020-03-04,"Region 5","Sis",8
2020-03-04,"Region 5","Yaz",0
2020-03-04,"Region 5","Khs",0
2020-03-04,"Region 5","Ker",14
2020-03-04,"Region 5","Khn",1
2020-03-05,"Region 1","Qom",32
2020-03-05,"Region 1","Teh",56
2020-03-05,"Region 1","Maz",50
2020-03-05,"Region 1","Alb",61
2020-03-05,"Region 1","Sem",22
2020-03-05,"Region 1","Gol",4
2020-03-05,"Region 1","Qaz",31
2020-03-05,"Region 2","Esf",118
2020-03-05,"Region 2","Frs",19
2020-03-05,"Region 2","Hor",2
2020-03-05,"Region 2","Koh",0
2020-03-05,"Region 2","Cha",8
2020-03-05,"Region 2","Bus",3
2020-03-05,"Region 3","Gil",80
2020-03-05,"Region 3","Ard",17
2020-03-05,"Region 3","Azs",10
2020-03-05,"Region 3","Azg",5
2020-03-05,"Region 3","Kur",6
2020-03-05,"Region 3","Zan",7
2020-03-05,"Region 4","Mar",31
2020-03-05,"Region 4","Ham",6
2020-03-05,"Region 4","Khz",1
2020-03-05,"Region 4","Krs",0
2020-03-05,"Region 4","Lor",11
2020-03-05,"Region 4","Ilm",0
2020-03-05,"Region 5","Khr",53
2020-03-05,"Region 5","Sis",5
2020-03-05,"Region 5","Yaz",0
2020-03-05,"Region 5","Khs",9
2020-03-05,"Region 5","Ker",0
2020-03-05,"Region 5","Khn",2
2020-03-06,"Region 1","Qom",137
2020-03-06,"Region 1","Teh",61
2020-03-06,"Region 1","Maz",180
2020-03-06,"Region 1","Alb",129
2020-03-06,"Region 1","Sem",54
2020-03-06,"Region 1","Gol",67
2020-03-06,"Region 1","Qaz",65
2020-03-06,"Region 2","Esf",150
2020-03-06,"Region 2","Frs",13
2020-03-06,"Region 2","Hor",6
2020-03-06,"Region 2","Koh",4
2020-03-06,"Region 2","Cha",5
2020-03-06,"Region 2","Bus",2
2020-03-06,"Region 3","Gil",91
2020-03-06,"Region 3","Ard",11
2020-03-06,"Region 3","Azs",10
2020-03-06,"Region 3","Azg",1
2020-03-06,"Region 3","Kur",24
2020-03-06,"Region 3","Zan",35
2020-03-06,"Region 4","Mar",48
2020-03-06,"Region 4","Ham",7
2020-03-06,"Region 4","Khz",0
2020-03-06,"Region 4","Krs",5
2020-03-06,"Region 4","Lor",50
2020-03-06,"Region 4","Ilm",2
2020-03-06,"Region 5","Khr",0
2020-03-06,"Region 5","Sis",2
2020-03-06,"Region 5","Yaz",50
2020-03-06,"Region 5","Khs",3
2020-03-06,"Region 5","Ker",7
2020-03-06,"Region 5","Khn",12
2020-03-07,"Region 1","Qom",145
2020-03-07,"Region 1","Teh",126
2020-03-07,"Region 1","Maz",305
2020-03-07,"Region 1","Alb",3
2020-03-07,"Region 1","Sem",24
2020-03-07,"Region 1","Gol",58
2020-03-07,"Region 1","Qaz",2
2020-03-07,"Region 2","Esf",96
2020-03-07,"Region 2","Frs",14
2020-03-07,"Region 2","Hor",11
2020-03-07,"Region 2","Koh",0
2020-03-07,"Region 2","Cha",2
2020-03-07,"Region 2","Bus",3
2020-03-07,"Region 3","Gil",70
2020-03-07,"Region 3","Ard",1
2020-03-07,"Region 3","Azs",2
2020-03-07,"Region 3","Azg",22
2020-03-07,"Region 3","Kur",2
2020-03-07,"Region 3","Zan",2
2020-03-07,"Region 4","Mar",37
2020-03-07,"Region 4","Ham",11
2020-03-07,"Region 4","Khz",1
2020-03-07,"Region 4","Krs",4
2020-03-07,"Region 4","Lor",27
2020-03-07,"Region 4","Ilm",2
2020-03-07,"Region 5","Khr",46
2020-03-07,"Region 5","Sis",13
2020-03-07,"Region 5","Yaz",24
2020-03-07,"Region 5","Khs",0
2020-03-07,"Region 5","Ker",15
2020-03-07,"Region 5","Khn",8
2020-03-08,"Region 1","Qom",17
2020-03-08,"Region 1","Teh",266
2020-03-08,"Region 1","Maz",14
2020-03-08,"Region 1","Alb",2
2020-03-08,"Region 1","Sem",37
2020-03-08,"Region 1","Gol",13
2020-03-08,"Region 1","Qaz",29
2020-03-08,"Region 2","Esf",80
2020-03-08,"Region 2","Frs",9
2020-03-08,"Region 2","Hor",5
2020-03-08,"Region 2","Koh",3
2020-03-08,"Region 2","Cha",5
2020-03-08,"Region 2","Bus",2
2020-03-08,"Region 3","Gil",2
2020-03-08,"Region 3","Ard",9
2020-03-08,"Region 3","Azs",30
2020-03-08,"Region 3","Azg",7
2020-03-08,"Region 3","Kur",19
2020-03-08,"Region 3","Zan",1
2020-03-08,"Region 4","Mar",70
2020-03-08,"Region 4","Ham",26
2020-03-08,"Region 4","Khz",5
2020-03-08,"Region 4","Krs",2
2020-03-08,"Region 4","Lor",37
2020-03-08,"Region 4","Ilm",0
2020-03-08,"Region 5","Khr",19
2020-03-08,"Region 5","Sis",0
2020-03-08,"Region 5","Yaz",6
2020-03-08,"Region 5","Khs",26
2020-03-08,"Region 5","Ker",1
2020-03-08,"Region 5","Khn",1
2020-03-09,"Region 1","Qom",27
2020-03-09,"Region 1","Teh",140
2020-03-09,"Region 1","Maz",13
2020-03-09,"Region 1","Alb",0
2020-03-09,"Region 1","Sem",45
2020-03-09,"Region 1","Gol",0
2020-03-09,"Region 1","Qaz",40
2020-03-09,"Region 2","Esf",37
2020-03-09,"Region 2","Frs",29
2020-03-09,"Region 2","Hor",17
2020-03-09,"Region 2","Koh",0
2020-03-09,"Region 2","Cha",5
2020-03-09,"Region 2","Bus",1
2020-03-09,"Region 3","Gil",28
2020-03-09,"Region 3","Ard",22
2020-03-09,"Region 3","Azs",22
2020-03-09,"Region 3","Azg",29
2020-03-09,"Region 3","Kur",3
2020-03-09,"Region 3","Zan",15
2020-03-09,"Region 4","Mar",54
2020-03-09,"Region 4","Ham",0
2020-03-09,"Region 4","Khz",4
2020-03-09,"Region 4","Krs",11
2020-03-09,"Region 4","Lor",7
2020-03-09,"Region 4","Ilm",16
2020-03-09,"Region 5","Khr",29
2020-03-09,"Region 5","Sis",0
2020-03-09,"Region 5","Yaz",3
2020-03-09,"Region 5","Khs",-7
2020-03-09,"Region 5","Ker",-5
2020-03-09,"Region 5","Khn",10
2020-03-10,"Region 1","Qom",39
2020-03-10,"Region 1","Teh",169
2020-03-10,"Region 1","Maz",253
2020-03-10,"Region 1","Alb",32
2020-03-10,"Region 1","Sem",1
2020-03-10,"Region 1","Gol",4
2020-03-10,"Region 1","Qaz",10
2020-03-10,"Region 2","Esf",17
2020-03-10,"Region 2","Frs",18
2020-03-10,"Region 2","Hor",17
2020-03-10,"Region 2","Koh",2
2020-03-10,"Region 2","Cha",11
2020-03-10,"Region 2","Bus",7
2020-03-10,"Region 3","Gil",0
2020-03-10,"Region 3","Ard",19
2020-03-10,"Region 3","Azs",17
2020-03-10,"Region 3","Azg",4
2020-03-10,"Region 3","Kur",12
2020-03-10,"Region 3","Zan",11
2020-03-10,"Region 4","Mar",27
2020-03-10,"Region 4","Ham",17
2020-03-10,"Region 4","Khz",37
2020-03-10,"Region 4","Krs",7
2020-03-10,"Region 4","Lor",25
2020-03-10,"Region 4","Ilm",25
2020-03-10,"Region 5","Khr",39
2020-03-10,"Region 5","Sis",6
2020-03-10,"Region 5","Yaz",37
2020-03-10,"Region 5","Khs",14
2020-03-10,"Region 5","Ker",4
2020-03-10,"Region 5","Khn",0
2020-03-11,"Region 1","Qom",53
2020-03-11,"Region 1","Teh",256
2020-03-11,"Region 1","Maz",32
2020-03-11,"Region 1","Alb",45
2020-03-11,"Region 1","Sem",63
2020-03-11,"Region 1","Gol",9
2020-03-11,"Region 1","Qaz",27
2020-03-11,"Region 2","Esf",170
2020-03-11,"Region 2","Frs",19
2020-03-11,"Region 2","Hor",10
2020-03-11,"Region 2","Koh",0
2020-03-11,"Region 2","Cha",1
2020-03-11,"Region 2","Bus",0
2020-03-11,"Region 3","Gil",5
2020-03-11,"Region 3","Ard",1
2020-03-11,"Region 3","Azs",29
2020-03-11,"Region 3","Azg",27
2020-03-11,"Region 3","Kur",6
2020-03-11,"Region 3","Zan",22
2020-03-11,"Region 4","Mar",31
2020-03-11,"Region 4","Ham",7
2020-03-11,"Region 4","Khz",17
2020-03-11,"Region 4","Krs",8
2020-03-11,"Region 4","Lor",9
2020-03-11,"Region 4","Ilm",6
2020-03-11,"Region 5","Khr",34
2020-03-11,"Region 5","Sis",4
2020-03-11,"Region 5","Yaz",23
2020-03-11,"Region 5","Khs",15
2020-03-11,"Region 5","Ker",18
2020-03-11,"Region 5","Khn",11
2020-03-12,"Region 1","Qom",42
2020-03-12,"Region 1","Teh",303
2020-03-12,"Region 1","Maz",79
2020-03-12,"Region 1","Alb",74
2020-03-12,"Region 1","Sem",40
2020-03-12,"Region 1","Gol",25
2020-03-12,"Region 1","Qaz",42
2020-03-12,"Region 2","Esf",4
2020-03-12,"Region 2","Frs",29
2020-03-12,"Region 2","Hor",0
2020-03-12,"Region 2","Koh",15
2020-03-12,"Region 2","Cha",11
2020-03-12,"Region 2","Bus",3
2020-03-12,"Region 3","Gil",84
2020-03-12,"Region 3","Ard",14
2020-03-12,"Region 3","Azs",7
2020-03-12,"Region 3","Azg",19
2020-03-12,"Region 3","Kur",9
2020-03-12,"Region 3","Zan",17
2020-03-12,"Region 4","Mar",88
2020-03-12,"Region 4","Ham",12
2020-03-12,"Region 4","Khz",31
2020-03-12,"Region 4","Krs",20
2020-03-12,"Region 4","Lor",25
2020-03-12,"Region 4","Ilm",7
2020-03-12,"Region 5","Khr",29
2020-03-12,"Region 5","Sis",6
2020-03-12,"Region 5","Yaz",21
2020-03-12,"Region 5","Khs",12
2020-03-12,"Region 5","Ker",7
2020-03-12,"Region 5","Khn",0
